Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff,PYds,PRYds
2018-09-23,Packers,Redskins,1,10:49,4,9,GNB 36,0-7,JK Scott punts 42 yards fair catch by Greg Stroman,,-0.980,-0.410,.57,42,
2018-09-23,Redskins,Packers,1,10:03,4,9,WAS 23,7-0,Tress Way punts 49 yards returned by Randall Cobb for 5 yards (tackle by Josh Harvey-Clemons). Penalty on Jermaine Whitehead: Illegal Block Above the Waist 10 yards,,-1.830,-0.480,1.35,49,5
2018-09-23,Packers,Redskins,1,8:26,4,3,GNB 30,0-7,JK Scott punts 49 yards fair catch by Greg Stroman,,-1.370,-0.340,1.03,49,
2018-09-23,Packers,Redskins,2,7:49,4,12,WAS 43,3-14,JK Scott punts 41 yards,,0.400,0.380,-0.02,41,
2018-09-23,Redskins,Packers,3,5:46,4,5,WAS 22,28-17,Tress Way punts 57 yards returned by Randall Cobb for 11 yards (tackle by Deshazor Everett),,-1.900,-1.070,.83,57,11
2018-09-23,Redskins,Packers,4,14:43,4,16,GNB 45,28-17,Tress Way punts 29 yards fair catch by Randall Cobb,,0.270,0.140,-0.13,29,
2018-09-23,Packers,Redskins,4,12:38,4,10,GNB 16,17-28,JK Scott punts 58 yards returned by Greg Stroman for 9 yards (tackle by Marquez Valdes-Scantling),,-2.390,-1.270,1.12,58,9
2018-09-23,Redskins,Packers,4,10:24,4,10,WAS 35,28-17,Tress Way punts 55 yards returned by Randall Cobb for 10 yards (tackle by Shaun Dion Hamilton). Penalty on Davon House: Offensive Holding 10 yards,,-1.040,0.380,1.42,55,10
2018-09-23,Packers,Redskins,4,7:33,4,5,GNB 46,17-28,JK Scott punts 42 yards fair catch by Greg Stroman,,-0.320,0.350,.67,42,
2018-09-23,Redskins,Packers,4,6:06,4,6,WAS 16,28-17,Tress Way punts 45 yards returned by Randall Cobb for 3 yards (tackle by Kenny Ladler),,-2.390,-1.730,.66,45,3
2018-09-24,Steelers,Buccaneers,1,12:54,4,4,PIT 16,0-0,Jordan Berry punts 43 yards,,-2.390,-1.660,.73,43,
2018-09-24,Buccaneers,Steelers,1,11:59,4,8,TAM 43,0-0,Bryan Anger punts 34 yards fair catch by Ryan Switzer,,-0.520,-0.480,.04,34,
2018-09-24,Buccaneers,Steelers,1,2:10,4,17,PIT 36,7-6,Bryan Anger punts 28 yards,,0.880,0.380,-0.50,28,
2018-09-24,Steelers,Buccaneers,2,6:09,4,6,PIT 27,16-7,Jordan Berry punts 43 yards fair catch by Adam Humphries. Penalty on Freddie Martino: Defensive Offside (Declined),,-1.570,-0.940,.63,43,
2018-09-24,Steelers,Buccaneers,2,3:48,4,17,TAM 42,16-7,Jordan Berry punts 40 yards,,0.460,0.380,-0.08,40,
2018-09-24,Steelers,Buccaneers,4,8:57,4,11,PIT 37,30-20,Jordan Berry punts 46 yards returned by DeSean Jackson for 83 yards. Penalty on Isaiah Johnson: Offensive Holding 9 yards,,-0.910,0.380,1.29,46,83
2018-09-24,Steelers,Buccaneers,4,3:10,4,29,PIT 44,30-27,Jordan Berry punts 56 yards touchback,,-0.460,-0.280,.18,56,
2018-09-24,Buccaneers,Steelers,4,2:49,4,10,TAM 20,27-30,Bryan Anger punts 64 yards returned by Ryan Switzer for 16 yards (tackle by Chris Godwin),,-2.030,-1.070,.96,64,16
2018-09-30,Jets,Jaguars,4,8:59,4,10,NYJ 14,12-25,Lac Edwards punts 46 yards muffed catch by Jaydon Mickens ball out of bounds at JAX-41,0,-2.470,-1.660,.81,46,
2018-09-30,Giants,Saints,2,2:42,4,8,NYG 27,7-9,Riley Dixon punts 36 yards muffed catch by Brandon Tate recovered by Brandon Tate and returned for 2 yards (tackle by Zak DeOssie),0,-1.570,-2.460,-0.89,36,2
2018-10-07,Panthers,Giants,2,14:21,4,2,CAR 47,13-3,Michael Palardy punts 50 yards muffed catch by Odell Beckham recovered by Colin Jones and returned for no gain touchdown,0,-0.260,7.000,7.26,50,
2018-10-07,Browns,Ravens,2,7:38,4,10,CLE 29,0-3,Britton Colquitt punts 43 yards returned by Tim White for 15 yards (tackle by Charley Hughlett). Tim White fumbles (forced by Charley Hughlett) recovered by Kenny Young at BAL-42 (tackle by Jeremiah McKinnon),0,-1.440,-1.730,-0.29,43,15
2018-10-07,Lions,Packers,1,10:47,4,17,DET 48,0-0,Sam Martin punts 39 yards muffed catch by Kevin King recovered by Jamal Agnew and returned for no gain,0,-0.190,6.970,7.16,39,
2018-10-07,Cardinals,49ers,3,6:29,4,9,SFO 39,14-6,Andy Lee punts 29 yards muffed catch by Trent Taylor recovered by Trent Taylor and returned for no gain,0,0.660,0.380,-0.28,29,
2018-10-11,Eagles,Giants,2,8:25,4,1,PHI 23,14-3,Cameron Johnston punts 44 yards muffed catch by Odell Beckham recovered by Odell Beckham and returned for -1 yards (tackle by Corey Clement),0,-1.830,-1.070,.76,44,-1
2018-10-11,Giants,Eagles,4,12:27,4,17,NYG 33,13-34,Riley Dixon punts 50 yards muffed catch by DeAndre Carter recovered by DeAndre Carter and returned for no gain,0,-1.180,-0.040,1.14,50,
2018-10-14,Buccaneers,Falcons,1,4:53,4,12,TAM 49,6-7,Bryan Anger punts 37 yards muffed catch by Justin Hardy recovered by Justin Hardy and returned for no gain. Penalty on Justin Bethel: Running Into the Kicker (Declined),0,-0.130,0.280,.41,37,
2018-10-14,Browns,Chargers,2,7:54,4,11,SDG 40,3-7,Britton Colquitt punts 29 yards muffed catch by Keenan Allen recovered by Keenan Allen and returned for no gain,0,0.590,0.370,-0.22,29,
2018-10-14,Chargers,Browns,3,12:14,4,22,SDG 32,21-6,Donnie Jones punts 47 yards muffed catch by Jabrill Peppers recovered by Jabrill Peppers and returned for no gain,0,-1.240,-0.810,.43,47,
2018-10-14,Texans,Bills,1,7:48,4,7,HTX 26,0-0,Trevor Daniel punts 38 yards muffed catch by Ray-Ray McCloud recovered by Brennan Scarlett and returned for no gain,0,-1.630,3.640,5.27,38,
2018-10-14,Redskins,Panthers,1,10:41,4,2,WAS 28,0-0,Tress Way punts 51 yards returned by D.J. Moore for 1 yard (tackle by Shaun Dion Hamilton). D.J. Moore fumbles (forced by Shaun Dion Hamilton) recovered by Jeremy Sprinkle at CAR-22,0,-1.500,4.110,5.61,51,1
2018-10-21,Bears,Patriots,2,1:48,4,3,CHI 43,17-21,Pat O'Donnell punts 50 yards muffed catch by Julian Edelman recovered by Julian Edelman and returned for no gain,0,-0.520,0.380,.90,50,
2018-10-21,Jaguars,Texans,1,1:15,4,7,JAX 28,0-6,Logan Cooke punts 54 yards muffed catch by Tyler Ervin ball out of bounds at HOU-18,0,-1.500,-0.040,1.46,54,
2018-10-21,Vikings,Jets,2,14:56,4,3,MIN 40,7-7,Matt Wile punts 49 yards muffed catch by Andre Roberts recovered by Andre Roberts and returned for no gain,0,-0.720,0.380,1.10,49,
2018-10-21,Jets,Vikings,2,13:12,4,5,NYJ 12,7-7,Lac Edwards fumbles recovered by Lac Edwards at NYJ--3. Lac Edwards punts 28 yards out of bounds. Penalty on Brandon Copeland: Ineligible Downfield Kick 5 yards,0,-2.490,-3.250,-0.76,28,
2018-10-21,Buccaneers,Browns,5,3:27,4,8,TAM 22,23-23,Bryan Anger punts 54 yards returned by Jabrill Peppers for 14 yards (tackle by Antony Auclair). Jabrill Peppers fumbles (forced by Antony Auclair) recovered by Isaiah Johnson at CLE-48,-10,-1.900,2.390,4.29,54,14
2018-09-27,Rams,Vikings,2,7:05,4,3,RAM 32,14-17,Johnny Hekker punts 39 yards out of bounds,,-1.240,-0.870,.37,39,
2018-09-27,Vikings,Rams,2,5:48,4,6,MIN 33,17-14,Matt Wile punts 38 yards,,-1.180,-0.870,.31,38,
2018-09-27,Vikings,Rams,2,1:48,4,16,MIN 30,17-21,Matt Wile punts 43 yards fair catch by Cooper Kupp,,-1.370,-0.740,.63,43,
2018-09-27,Vikings,Rams,3,8:26,4,10,RAM 46,20-28,Matt Wile punts 30 yards fair catch by Cooper Kupp,,0.200,0.140,-0.06,30,
2018-09-27,Vikings,Rams,4,14:11,4,18,MIN 31,28-38,Matt Wile punts 48 yards returned by Cooper Kupp for 7 yards (tackle by Jayron Kearse). Penalty on Dominique Hatfield: Illegal Block Above the Waist 10 yards,,-1.310,0.220,1.53,48,7
2018-09-27,Rams,Vikings,4,2:30,4,1,RAM 34,38-31,Johnny Hekker punts 32 yards,,-1.110,-1.200,-0.09,32,
2018-09-30,Bengals,Falcons,3,13:16,4,16,CIN 19,28-24,Kevin Huber punts blocked by Keith Tandy recovered by Tyler Kroft,,-2.140,-5.370,-3.23,0,
2018-09-30,Bengals,Falcons,3,7:47,4,18,ATL 39,28-27,Kevin Huber punts 31 yards fair catch by Justin Hardy,,0.660,0.380,-0.28,31,
2018-09-30,Falcons,Bengals,3,5:03,4,3,ATL 30,27-28,Matthew Bosher punts 41 yards returned by Alex Erickson for 13 yards (tackle by Logan Paulsen),,-1.370,-1.730,-0.36,41,13
2018-09-30,Buccaneers,Bears,1,11:01,4,10,TAM 25,0-7,Bryan Anger punts 51 yards returned by Tarik Cohen for 10 yards (tackle by Jack Cichy),,-1.700,-1.200,.50,51,10
2018-09-30,Bears,Buccaneers,1,9:28,4,17,CHI 27,7-0,Pat O'Donnell punts 51 yards returned by DeSean Jackson for 7 yards (tackle by Sherrick McManis). Penalty on Marcus Williams: Offensive Holding 10 yards,,-1.570,0.280,1.85,51,7
2018-09-30,Buccaneers,Bears,1,5:54,4,15,TAM 28,0-7,Bryan Anger punts 45 yards returned by Tarik Cohen for no gain,,-1.500,-0.740,.76,45,
2018-09-30,Buccaneers,Bears,2,10:55,4,13,TAM 22,3-21,Bryan Anger punts 45 yards returned by Tarik Cohen for 10 yards (tackle by Adarius Taylor). Penalty on Ben Braunecker: Illegal Block Above the Waist 10 yards,,-1.900,-0.740,1.16,45,10
2018-09-30,Buccaneers,Bears,2,8:16,4,7,TAM 28,3-28,Bryan Anger punts 42 yards fair catch by Tarik Cohen,,-1.500,-0.940,.56,42,
2018-09-30,Buccaneers,Bears,3,5:39,4,10,CHI 48,3-45,Bryan Anger punts 31 yards out of bounds,,0.070,0.060,-0.01,31,
2018-09-30,Bears,Buccaneers,3,4:11,4,3,CHI 24,45-3,Pat O'Donnell punts 45 yards fair catch by Adam Humphries. Penalty on Andrew Adams: Offensive Holding 10 yards,,-1.770,-0.340,1.43,45,
2018-09-30,Texans,Colts,1,5:44,4,20,CLT 49,0-7,Trevor Daniel punts 47 yards,,0.000,0.380,.38,47,
2018-09-30,Colts,Texans,1,3:24,4,24,CLT 10,7-7,Rigoberto Sanchez punts 57 yards returned by Tyler Ervin for 15 yards (tackle by Clayton Geathers),,-2.490,-2.130,.36,57,15
2018-09-30,Colts,Texans,2,14:20,4,6,CLT 48,7-14,Rigoberto Sanchez punts 37 yards fair catch by Tyler Ervin,,-0.190,0.220,.41,37,
2018-09-30,Texans,Colts,2,12:05,4,2,CLT 45,14-7,Trevor Daniel punts 31 yards fair catch by Chester Rogers,,0.270,0.280,.01,31,
2018-09-30,Colts,Texans,2,10:53,4,3,CLT 36,7-14,Rigoberto Sanchez punts 40 yards out of bounds,,-0.980,-0.540,.44,40,
2018-09-30,Texans,Colts,2,8:58,4,8,HTX 44,14-7,Trevor Daniel punts 47 yards fair catch by Chester Rogers,,-0.460,0.380,.84,47,
2018-09-30,Colts,Texans,2,7:28,4,9,CLT 10,7-14,Rigoberto Sanchez punts 49 yards returned by Tyler Ervin for 5 yards (tackle by Luke Rhodes),,-2.490,-1.990,.50,49,5
2018-09-30,Texans,Colts,2,2:00,4,23,CLT 43,14-7,Trevor Daniel punts 31 yards fair catch by Chester Rogers,,0.400,0.350,-0.05,31,
2018-09-30,Colts,Texans,3,2:52,4,12,HTX 47,17-28,Rigoberto Sanchez punts 37 yards. Penalty on Tyler Ervin: Unnecessary Roughness 4 yards,,0.130,0.380,.25,37,
2018-09-30,Texans,Colts,4,14:18,4,10,HTX 41,28-17,Trevor Daniel punts 51 yards returned by Chester Rogers for 19 yards (tackle by Alfred Blue),,-0.650,-0.740,-0.09,51,19
2018-09-30,Seahawks,Cardinals,1,11:29,4,1,CRD 44,0-0,Michael Dickson punts 37 yards fair catch by Christian Kirk,,0.330,0.380,.05,37,
2018-09-30,Cardinals,Seahawks,1,9:19,4,19,CRD 9,0-0,Andy Lee punts 47 yards returned by Tyler Lockett for -6 yards (tackle by Deone Bucannon),,-2.490,-1.470,1.02,47,-6
2018-09-30,Seahawks,Cardinals,2,12:00,4,1,SEA 35,7-3,Michael Dickson punts 50 yards out of bounds,,-1.040,0.220,1.26,50,
2018-09-30,Cardinals,Seahawks,2,9:36,4,14,CRD 11,3-7,Andy Lee punts 55 yards returned by Tyler Lockett for 18 yards (tackle by Zeke Turner),,-2.490,-2.390,.10,55,18
2018-09-30,Cardinals,Seahawks,3,12:57,4,1,CRD 39,10-7,Andy Lee punts 47 yards returned by Tyler Lockett for 8 yards (tackle by Zeke Turner),,-0.780,-0.410,.37,47,8
2018-09-30,Cardinals,Seahawks,3,3:31,4,10,CRD 25,10-10,Andy Lee punts 56 yards returned by Tyler Lockett for 19 yards (tackle by Zeke Turner). Penalty on Brandon Williams: Unsportsmanlike Conduct 15 yards,,-1.700,-2.460,-0.76,56,19
2018-09-30,Cardinals,Seahawks,4,14:10,4,11,CRD 33,10-17,Andy Lee punts 48 yards fair catch by Tyler Lockett,,-1.180,-0.150,1.03,48,
2018-09-30,Seahawks,Cardinals,4,11:47,4,1,SEA 44,17-10,Michael Dickson punts 56 yards touchback,,-0.460,-0.280,.18,56,
2018-09-30,Seahawks,Cardinals,4,7:19,4,3,SEA 29,17-17,Michael Dickson punts 47 yards returned by Christian Kirk for no gain,,-1.440,-0.540,.90,47,
2018-09-30,Lions,Cowboys,1,12:54,4,12,DAL 45,0-0,Sam Martin punts 45 yards touchback,,0.270,-0.280,-0.55,45,
2018-09-30,Cowboys,Lions,1,11:08,4,2,DAL 28,0-0,Chris Jones punts 42 yards,,-1.500,-0.940,.56,42,
2018-09-30,Lions,Cowboys,1,6:47,4,6,DAL 41,0-0,Sam Martin punts 31 yards fair catch by Cole Beasley,,0.530,0.380,-0.15,31,
2018-09-30,Lions,Cowboys,2,0:12,4,17,DET 38,10-13,Sam Martin punts 43 yards fair catch by Cole Beasley,,-0.850,-0.150,.70,43,
2018-09-30,Cowboys,Lions,3,9:24,4,32,DET 48,13-10,Chris Jones punts 36 yards fair catch by Jamal Agnew,,0.070,0.350,.28,36,
2018-09-30,Lions,Cowboys,3,7:08,4,10,DET 12,10-13,Sam Martin punts 52 yards fair catch by Tavon Austin,,-2.490,-1.330,1.16,52,
2018-09-30,Bills,Packers,1,12:50,4,1,BUF 28,0-0,Corey Bojorquez punts 46 yards returned by Tramon Williams for 9 yards (tackle by Lafayette Pitts),,-1.500,-1.270,.23,46,9
2018-09-30,Packers,Bills,1,8:21,4,11,BUF 41,0-0,JK Scott punts 35 yards fair catch by Micah Hyde,,0.530,0.380,-0.15,35,
2018-09-30,Bills,Packers,1,8:01,4,10,BUF 6,0-0,Corey Bojorquez punts 50 yards fair catch by Tramon Williams,,-2.490,-1.860,.63,50,
2018-09-30,Bills,Packers,1,1:36,4,5,GNB 47,0-6,Corey Bojorquez punts 36 yards returned by Tramon Williams for 6 yards (tackle by Ramon Humber),,0.130,0.060,-0.07,36,6
2018-09-30,Bills,Packers,2,9:31,4,15,BUF 10,0-13,Corey Bojorquez punts 48 yards returned by Tramon Williams for 1 yard (tackle by Taiwan Jones),,-2.490,-1.800,.69,48,1
2018-09-30,Bills,Packers,2,7:39,4,5,GNB 44,0-13,Corey Bojorquez punts 33 yards fair catch by Tramon Williams,,0.330,0.370,.04,33,
2018-09-30,Packers,Bills,2,2:48,4,13,GNB 49,13-0,JK Scott punts 51 yards touchback,,-0.130,-0.280,-0.15,51,
2018-09-30,Bills,Packers,3,2:50,4,11,BUF 35,0-19,Corey Bojorquez punts 49 yards returned by Tramon Williams for 3 yards (tackle by Lorenzo Alexander). Penalty on Josh Jones: Defensive Offside (Declined),,-1.040,-0.150,.89,49,3
2018-09-30,Packers,Bills,3,1:41,4,11,GNB 18,19-0,JK Scott punts 43 yards returned by Ray-Ray McCloud for -1 yards (tackle by Reggie Gilbert),,-2.240,-1.470,.77,43,-1
2018-09-30,Bills,Packers,4,15:00,4,19,BUF 29,0-19,Corey Bojorquez punts 39 yards returned by Tramon Williams for 1 yard (tackle by Taiwan Jones),,-1.440,-1.140,.30,39,1
2018-09-30,Bills,Packers,4,10:00,4,28,BUF 34,0-19,Corey Bojorquez punts 47 yards out of bounds,,-1.110,-0.150,.96,47,
2018-09-30,Packers,Bills,4,6:11,4,1,GNB 42,19-0,JK Scott punts 42 yards fair catch by Ray-Ray McCloud,,-0.590,0.140,.73,42,
2018-09-30,Jets,Jaguars,1,12:30,4,2,JAX 48,0-0,Lac Edwards punts 42 yards,,0.070,0.380,.31,42,
2018-09-30,Jets,Jaguars,1,1:37,4,3,NYJ 16,0-3,Lac Edwards punts 61 yards returned by Jaydon Mickens for no gain,,-2.390,-0.480,1.91,61,
2018-09-30,Jets,Jaguars,2,4:54,4,21,NYJ 40,0-6,Lac Edwards punts 38 yards out of bounds,,-0.720,-0.410,.31,38,
2018-09-30,Jaguars,Jets,3,12:40,4,2,JAX 44,16-0,Logan Cooke punts 54 yards,,-0.460,0.380,.84,54,
2018-09-30,Jaguars,Jets,3,9:24,4,12,JAX 36,18-0,Logan Cooke punts 46 yards. Penalty on DJ Chark: Kick Catch Interference 15 yards,,-0.980,-1.140,-0.16,46,
2018-09-30,Jets,Jaguars,3,7:52,4,1,NYJ 42,0-18,Lac Edwards punts 58 yards touchback,,-0.590,-0.280,.31,58,
2018-09-30,Jets,Jaguars,3,2:12,4,17,NYJ 18,3-25,Lac Edwards punts 52 yards returned by Jaydon Mickens for 8 yards (tackle by Terrence Brooks),,-2.240,-1.470,.77,52,8
2018-09-30,Jaguars,Jets,3,0:45,4,7,JAX 47,25-3,Logan Cooke punts 40 yards returned by Andre Roberts for 7 yards (tackle by Lerentee McCray). Penalty on Carson Tinker: Offensive Holding 10 yards,,-0.260,-0.940,-0.68,40,7
2018-09-30,Jaguars,Jets,4,9:25,4,1,JAX 41,25-12,Logan Cooke punts 45 yards fair catch by Andre Roberts,,-0.650,0.280,.93,45,
2018-09-30,Jets,Jaguars,4,4:33,4,6,NYJ 20,12-25,Lac Edwards punts 48 yards returned by Jaydon Mickens for 3 yards (tackle by Doug Middleton),,-2.030,-1.270,.76,48,3
2018-09-30,Dolphins,Patriots,1,12:11,4,7,50,0-0,Matt Haack punts 26 yards out of bounds,,-0.060,-0.540,-0.48,26,
2018-09-30,Dolphins,Patriots,1,3:37,4,10,MIA 30,0-3,Matt Haack punts 44 yards returned by Cyrus Jones for 9 yards (tackle by John Denney),,-1.370,-1.270,.10,44,9
2018-09-30,Dolphins,Patriots,2,14:20,4,6,MIA 40,0-3,Matt Haack punts 51 yards returned by Cyrus Jones for 24 yards (tackle by Senorise Perry),,-0.720,-1.140,-0.42,51,24
2018-09-30,Dolphins,Patriots,2,10:56,4,8,NWE 48,0-10,Matt Haack punts 25 yards out of bounds,,0.070,-0.480,-0.55,25,
2018-09-30,Patriots,Dolphins,2,7:50,4,7,NWE 40,10-0,Ryan Allen punts 36 yards returned by Danny Amendola for 12 yards (tackle by Kyle Van Noy),,-0.720,-1.330,-0.61,36,12
2018-09-30,Dolphins,Patriots,2,5:58,4,15,MIA 20,0-17,Matt Haack punts 50 yards returned by Cyrus Jones for no gain. Penalty on J.C. Jackson: Unnecessary Roughness 15 yards,,-2.030,0.220,2.25,50,
2018-09-30,Patriots,Dolphins,3,14:16,4,8,NWE 27,24-0,Ryan Allen punts 44 yards returned by Jakeem Grant for 11 yards (tackle by Nate Ebner),,-1.570,-1.600,-0.03,44,11
2018-09-30,Dolphins,Patriots,3,11:59,4,21,MIA 29,0-24,Matt Haack punts 52 yards returned by Cyrus Jones for 7 yards (tackle by Albert Wilson). Penalty on Walt Aikens: Unsportsmanlike Conduct 15 yards,,-1.440,-1.660,-0.22,52,7
2018-09-30,Dolphins,Patriots,4,11:50,4,18,MIA 17,0-38,Matt Haack punts 45 yards returned by Cyrus Jones for 5 yards (tackle by Walt Aikens),,-2.320,-1.800,.52,45,5
2018-09-30,Saints,Giants,1,13:33,4,9,NOR 24,0-0,Thomas Morstead punts 51 yards fair catch by Jawill Davis,,-1.770,-0.610,1.16,51,
2018-09-30,Giants,Saints,2,11:03,4,19,NYG 27,7-3,Riley Dixon punts 53 yards returned by Brandon Tate for 12 yards (tackle by Zak DeOssie). Penalty on J.T. Gray: Illegal Block Above the Waist 10 yards,,-1.570,0.220,1.79,53,12
2018-09-30,Giants,Saints,3,10:42,4,8,NYG 40,7-12,Riley Dixon punts 60 yards touchback,,-0.720,-0.280,.44,60,
2018-09-30,Saints,Giants,3,0:36,4,10,NOR 25,19-10,Thomas Morstead punts 44 yards fair catch by Odell Beckham,,-1.700,-1.000,.70,44,
2018-09-30,Giants,Saints,4,13:37,4,14,NYG 27,10-19,Riley Dixon punts 55 yards returned by Brandon Tate for 8 yards (tackle by Michael Thomas),,-1.570,-0.670,.90,55,8
2018-09-30,Eagles,Titans,1,9:16,4,9,OTI 47,0-3,Cameron Johnston punts 47 yards touchback,,0.130,-0.280,-0.41,47,
2018-09-30,Titans,Eagles,1,7:25,4,13,OTI 42,3-0,Brett Kern punts 58 yards touchback,,-0.590,-0.280,.31,58,
2018-09-30,Eagles,Titans,1,5:06,4,21,PHI 26,0-3,Cameron Johnston punts 68 yards returned by Nick Williams for 10 yards (tackle by Kamu Grugier-Hill). Penalty on Dane Cruikshank: Illegal Block Above the Waist 7 yards,,-1.630,0.380,2.01,68,10
2018-09-30,Titans,Eagles,2,15:00,4,4,OTI 47,3-0,Brett Kern punts 48 yards,,-0.260,0.380,.64,48,
2018-09-30,Eagles,Titans,2,12:01,4,10,OTI 48,0-3,Cameron Johnston punts 37 yards fair catch by Nick Williams,,0.070,0.370,.30,37,
2018-09-30,Titans,Eagles,2,9:04,4,4,OTI 48,3-0,Brett Kern punts 49 yards out of bounds,,-0.190,0.380,.57,49,
2018-09-30,Titans,Eagles,2,2:34,4,7,OTI 28,3-7,Brett Kern punts 45 yards returned by DeAndre Carter for 11 yards (tackle by William Compton). Penalty on Sidney Jones: Face Mask (15 Yards) 13 yards,,-1.500,0.280,1.78,45,11
2018-09-30,Eagles,Titans,2,0:49,4,9,PHI 48,7-3,Cameron Johnston punts 52 yards touchback,,-0.190,-0.280,-0.09,52,
2018-09-30,Eagles,Titans,4,8:06,4,6,PHI 29,17-13,Cameron Johnston punts 46 yards returned by Nick Williams for no gain,,-1.440,-0.610,.83,46,
2018-09-30,Eagles,Titans,4,2:59,4,4,PHI 42,17-20,Cameron Johnston punts 58 yards touchback,,-0.590,-0.280,.31,58,
2018-09-30,Titans,Eagles,4,1:54,4,3,OTI 27,20-17,Brett Kern punts 54 yards returned by DeAndre Carter for 42 yards (tackle by Brett Kern),,-1.570,-2.980,-1.41,54,42
2018-09-30,Steelers,Ravens,1,6:15,4,17,PIT 14,0-14,Jordan Berry punts 44 yards fair catch by Tim White,,-2.470,-1.730,.74,44,
2018-09-30,Ravens,Steelers,1,4:40,4,8,RAV 44,14-0,Sam Koch punts 41 yards out of bounds,,-0.460,0.220,.68,41,
2018-09-30,Ravens,Steelers,2,4:57,4,18,RAV 28,14-6,Sam Koch punts 51 yards returned by Ryan Switzer for 3 yards (tackle by De'Lance Turner),,-1.500,-0.540,.96,51,3
2018-09-30,Ravens,Steelers,2,0:17,4,1,RAV 45,14-14,Sam Koch punts 42 yards fair catch by Ryan Switzer,,-0.390,0.320,.71,42,
2018-09-30,Steelers,Ravens,3,13:02,4,8,PIT 36,14-14,Jordan Berry punts 42 yards returned by Tim White for 4 yards,,-0.980,-0.670,.31,42,4
2018-09-30,Ravens,Steelers,3,10:11,4,10,PIT 41,14-14,Sam Koch punts 41 yards touchback,,0.530,-0.280,-0.81,41,
2018-09-30,Steelers,Ravens,3,7:32,4,4,PIT 47,14-14,Jordan Berry punts 33 yards fair catch by Tim White,,-0.260,-0.280,-0.02,33,
2018-09-30,Steelers,Ravens,3,3:03,4,12,PIT 28,14-17,Jordan Berry punts 40 yards fair catch by Tim White,,-1.500,-1.070,.43,40,
2018-09-30,Steelers,Ravens,4,10:25,4,5,PIT 45,14-20,Jordan Berry punts 47 yards fair catch by Tim White,,-0.390,0.380,.77,47,
2018-09-30,Raiders,Browns,1,13:25,4,1,RAI 34,0-0,Johnny Townsend punts 47 yards returned by Antonio Callaway for 9 yards (tackle by Marquel Lee),,-1.110,-0.810,.30,47,9
2018-09-30,Browns,Raiders,1,12:32,4,8,CLE 30,0-0,Britton Colquitt punts 59 yards returned by Dwayne Harris for 12 yards (tackle by Orson Charles),,-1.370,-0.480,.89,59,12
2018-09-30,Raiders,Browns,1,10:56,4,4,RAI 29,0-0,Johnny Townsend punts 38 yards. Penalty on Briean Boddy-Calhoun: Offensive Holding 10 yards,,-1.440,-0.480,.96,38,
2018-09-30,Raiders,Browns,2,11:05,4,8,RAI 27,7-9,Johnny Townsend punts 44 yards returned by Jabrill Peppers for 1 yard (tackle by Dwayne Harris),,-1.570,-0.940,.63,44,1
2018-09-30,Browns,Raiders,2,2:00,4,2,CLE 40,17-14,Britton Colquitt punts 42 yards fair catch by Dwayne Harris,,-0.720,-0.040,.68,42,
2018-09-30,Raiders,Browns,3,5:58,4,9,RAI 40,14-28,Johnny Townsend punts 49 yards fair catch by Jabrill Peppers,,-0.720,0.370,1.09,49,
2018-09-30,Browns,Raiders,3,4:16,4,11,CLE 18,28-21,Britton Colquitt punts 40 yards fair catch by Dwayne Harris,,-2.240,-1.730,.51,40,
2018-09-30,Raiders,Browns,3,3:05,4,2,50,21-28,Johnny Townsend punts 50 yards touchback,,-0.060,-0.280,-0.22,50,
2018-09-30,Browns,Raiders,3,1:36,4,9,CLE 21,28-21,Britton Colquitt punts 59 yards returned by Dwayne Harris for 11 yards (tackle by Derrick Kindred),,-1.960,-1.000,.96,59,11
2018-09-30,Browns,Raiders,4,12:28,4,10,CLE 25,28-31,Britton Colquitt punts 53 yards returned by Dwayne Harris for 49 yards (tackle by Nick Chubb),,-1.700,-3.640,-1.94,53,49
2018-09-30,Raiders,Browns,4,5:54,4,12,RAI 39,34-35,Johnny Townsend punts 39 yards fair catch by Jabrill Peppers. Penalty on Dwayne Harris: Fair Catch Interference 15 yards,,-0.780,-1.400,-0.62,39,
2018-09-30,Browns,Raiders,4,1:38,4,1,CLE 18,42-34,Britton Colquitt punts 49 yards returned by Dwayne Harris for 14 yards (tackle by Nick Chubb),,-2.240,-2.060,.18,49,14
2018-09-30,Browns,Raiders,5,5:39,4,5,CLE 45,42-42,Britton Colquitt punts 48 yards returned by Dwayne Harris for 12 yards (tackle by Duke Johnson),,-0.390,-0.150,.24,48,12
2018-09-30,Chargers,49ers,1,13:12,4,7,SDG 28,0-7,Drew Kaser punts 55 yards returned by Dante Pettis for -3 yards (tackle by Jatavis Brown),,-1.500,0.280,1.78,55,-3
2018-09-30,49ers,Chargers,1,11:42,4,7,SFO 17,7-0,Bradley Pinion punts 45 yards returned by Desmond King for -1 yards (tackle by Mark Nzeocha),,-2.320,-1.400,.92,45,-1
2018-09-30,49ers,Chargers,2,0:30,4,2,SFO 33,17-14,Bradley Pinion punts 55 yards returned by Desmond King for 56 yards (tackle by Bradley Pinion),,-1.180,-3.450,-2.27,55,56
